"id","performer","song","genre","track_duration","track_explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
49817,"Lil Tjay","20/20","['brooklyn drill', 'melodic rap', 'nyc rap']",230448,TRUE,0.886,0.336,4,-12.779,1,0.239,0.557,0,0.0933,0.536,100.044,4
83397,"Taylor Swift","22","['pop', 'post-teen pop']",230133,FALSE,0.664,0.739,7,-6.539,1,0.0377,0.0027,0.00273,0.0742,0.703,104.012,4
17849,"T.I.","24's","['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",282906,TRUE,0.739,0.725,6,-4.301,1,0.203,0.227,0,0.0991,0.582,162.06,4
12573,"Future","31 Days","['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",240682,TRUE,0.875,0.644,1,-6.554,1,0.222,0.267,0,0.125,0.788,139.086,4
66465,"Ariana Grande","34+35","['dance pop', 'pop', 'post-teen pop']",173710,TRUE,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,4
24589,"Ariana Grande Feat. Doja Cat & Megan Thee Stallion","34+35",NA,182437,TRUE,0.88,0.662,0,-5.766,1,0.304,0.205,0,0.227,0.726,109.988,4
68121,"Britney Spears","3","['dance pop', 'pop', 'post-teen pop']",213173,FALSE,0.697,0.709,5,-1.917,0,0.0455,0.0452,0,0.138,0.787,134.91,4
94377,"Avant","4 Minutes","['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']",240320,FALSE,0.825,0.6,10,-5.378,1,0.162,0.091,0,0.123,0.607,119.956,4
51642,"Boyz II Men","4 Seasons Of Loneliness","['boy band', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",292400,FALSE,0.583,0.488,6,-10.494,1,0.0444,0.821,1.71e-05,0.115,0.191,98.497,4
57753,"The Beach Boys","409","['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",120866,FALSE,0.459,0.7,7,-4.751,1,0.0306,0.749,0,0.258,0.853,159.428,4
56743,"Logic","44 More","['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",188600,TRUE,0.829,0.589,1,-7.055,1,0.202,0.0635,0,0.113,0.233,139.971,4
37445,"Drake Featuring Sampha","4422","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",186293,FALSE,0.621,0.247,11,-12.291,0,0.0393,0.499,0.0239,0.113,0.221,111.974,4
83520,"Brownstone","5 Miles To Empty","['girl group', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",225933,FALSE,0.671,0.733,3,-10.884,0,0.0283,5.01e-05,0.858,0.0745,0.803,123.577,4
71691,"Travis Scott","5% Tint","['rap']",196138,TRUE,0.712,0.481,4,-5.415,0,0.0487,0.173,0,0.241,0.062,140,4
41211,"Drake","6 God","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",180666,TRUE,0.857,0.639,2,-8.622,1,0.128,0.0239,0,0.121,0.477,105.504,4
38886,"Beyonce Featuring The Weeknd","6 Inch","['dance pop', 'pop', 'pop rap', 'r&b']",260440,TRUE,0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,4
49021,"Sneaker Pimps","6 Underground","['alternative dance', 'electronica', 'trip hop']",228840,FALSE,0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,4
78734,"Four Tops","7 Rooms Of Gloom","['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",154573,FALSE,0.452,0.694,3,-8.552,0,0.0399,0.246,0,0.267,0.874,89.262,4
57317,"Miley Cyrus","7 Things","['dance pop', 'pop', 'post-teen pop']",213453,FALSE,0.599,0.893,1,-4.404,0,0.0376,0.018,0,0.0772,0.591,107.033,4
41255,"Prince And The New Power Generation","7","['funk', 'funk rock', 'minneapolis sound', 'motown']",178266,FALSE,0.738,0.79,2,-8.308,1,0.036,0.0165,0.00282,0.296,0.573,135.148,4
68316,"Sugarhill Gang","8th Wonder","['east coast hip hop', 'funk', 'hip hop', 'hip house', 'new jersey rap', 'old school hip hop', 'rap']",446506,FALSE,0.871,0.937,1,-8.536,1,0.195,0.298,0,0.634,0.675,106.494,4
10804,"Dolly Parton","9 To 5","['classic country pop', 'country', 'country dawn']",162466,FALSE,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4
81813,"Wyclef Jean Featuring Mary J. Blige","911","['rap kreyol']",259333,FALSE,0.747,0.646,7,-9.185,1,0.191,0.273,3.7e-06,0.0931,0.73,87.011,4
10997,"Big Maybelle","96 Tears","['blues', 'jump blues', 'rhythm and blues', 'southern soul']",143280,FALSE,0.696,0.851,7,-5.385,1,0.0506,0.0236,0.0309,0.055,0.889,119.479,4
44530,"Tony Lucca","99 Problems","['acoustic pop', 'neo mellow']",143760,FALSE,0.613,0.81,2,-4.115,1,0.0593,0.0222,0,0.206,0.875,166.019,4
40528,"Sonny & Cher","A Beautiful Story","['deep groove house', 'deep house', 'disco house', 'house', 'uk dance']",172800,FALSE,0.474,0.328,7,-10.766,1,0.0338,0.737,0,0.128,0.602,159.172,3
70294,"Tyler, The Creator","A Boy Is A Gun","['hip hop', 'rap']",210253,TRUE,0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,4
5245,"Johnny Mathis","A Certain Smile","['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",168293,FALSE,0.233,0.337,5,-10.031,1,0.0307,0.854,1.53e-06,0.274,0.218,73.576,4
88999,"Bucky Covington","A Different World","['contemporary country', 'country', 'country road', 'modern country rock']",208573,FALSE,0.62,0.686,9,-5.027,1,0.0276,0.0327,0,0.101,0.464,128.962,4
11779,"Tom Petty","A Face In The Crowd","['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",239306,FALSE,0.699,0.61,4,-13.372,0,0.0272,0.11,0.00188,0.06,0.755,105.568,4
71064,"Clay Walker","A Few Questions","['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",224258,FALSE,0.586,0.247,7,-13.624,1,0.0284,0.413,0.0063,0.0905,0.115,140.943,4
37505,"Andy Williams","A Fool Never Learns","['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",121786,FALSE,0.542,0.706,5,-9.038,1,0.0318,0.778,1.21e-05,0.363,0.755,98.348,4
41582,"Bob Dylan","A Fool Such As I","['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",163053,FALSE,0.563,0.857,7,-7.618,1,0.0604,0.165,1.83e-05,0.134,0.687,118.29,4
58840,"The Smithereens","A Girl Like You","['alternative rock', 'dance rock', 'jangle pop', 'new jersey indie', 'new wave', 'new wave pop', 'power pop', 'roots rock']",282866,FALSE,0.657,0.828,1,-9.344,1,0.0283,0.0892,0,0.0575,0.908,123.799,4
52070,"The Young Rascals","A Girl Like You","['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']",170313,FALSE,0.496,0.548,0,-8.613,0,0.0462,0.637,0,0.0925,0.554,137.754,4
34148,"America","A Horse With No Name","['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",252239,FALSE,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,4
39784,"Dale Hawkins","A House, A Car And A Wedding Ring","['rock-and-roll', 'rockabilly']",131239,FALSE,0.489,0.252,0,-12.149,1,0.0348,0.743,2.32e-06,0.22,0.366,113.371,4
59812,"The Chi-lites","A Letter To Myself","['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",335213,FALSE,0.512,0.477,9,-10.122,1,0.0327,0.678,4.06e-05,0.0936,0.502,130.633,4
20648,"Dr. Hook","A Little Bit More","['bubblegum pop', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']",173960,FALSE,0.303,0.421,7,-13.148,1,0.0353,0.616,0,0.314,0.472,180.833,4
6821,"Garnet Mimms","A Little Bit Of Soap","['rhythm and blues', 'southern soul']",143560,FALSE,0.632,0.661,10,-10.575,1,0.0786,0.485,0,0.0462,0.899,133.624,4
33617,"Paul Davis","A Little Bit Of Soap","['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",152760,FALSE,0.736,0.262,0,-13.234,1,0.0473,0.649,1.97e-06,0.148,0.738,126.596,4
39842,"The Jarmels","A Little Bit Of Soap","['doo-wop']",133813,FALSE,0.598,0.587,10,-7.312,0,0.106,0.258,0,0.184,0.663,137.467,4
93970,"Wanda Jackson","A Little Bitty Tear","['nashville sound', 'oklahoma country', 'rock-and-roll', 'rockabilly']",126106,FALSE,0.517,0.491,0,-7.732,1,0.0348,0.804,3.74e-06,0.139,0.891,132.095,4
53716,"Cliff Richard","A Little In Love","['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop', 'mellow gold', 'new wave pop', 'rock-and-roll', 'soft rock']",219533,FALSE,0.682,0.674,7,-10.39,1,0.0274,0.0391,0,0.307,0.921,117.289,4
19237,"Elvis Presley vs JXL","A Little Less Conversation",NA,211506,FALSE,0.597,0.97,4,-5.972,0,0.0502,0.000385,0.205,0.133,0.717,114.999,4
56596,"Juice Newton","A Little Love","['classic country pop', 'country dawn', 'soft rock']",194733,FALSE,0.611,0.807,9,-8.661,1,0.0324,0.142,0.0114,0.0802,0.93,144.34,4
38374,"Easton Corbin","A Little More Country Than That","['contemporary country', 'country', 'country road', 'modern country rock']",172226,FALSE,0.484,0.61,11,-8.484,1,0.0363,0.0776,2.81e-06,0.102,0.584,84.365,4
76412,"Toby Keith","A Little Too Late","['contemporary country', 'country', 'country road', 'oklahoma country']",248040,FALSE,0.408,0.752,11,-5.725,1,0.0478,0.188,3.92e-05,0.141,0.604,201.713,4
36828,"Clarence Henry","A Little Too Much","['louisiana blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll']",115800,FALSE,0.693,0.611,0,-8.333,1,0.0338,0.693,0,0.146,0.893,114.697,4
203,"Freddie And The Dreamers","A Little You","['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",129600,FALSE,0.351,0.573,9,-10.993,1,0.0325,0.0868,0,0.421,0.766,73.361,4
19645,"The Weeknd","A Lonely Night","['canadian contemporary r&b', 'canadian pop', 'pop']",220173,FALSE,0.853,0.663,7,-6.955,0,0.0755,0.0431,8.65e-06,0.0891,0.864,113.999,4
89436,"Boston","A Man I'll Never Be","['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",396173,FALSE,0.418,0.587,0,-9.607,1,0.0272,0.0559,6.82e-06,0.0548,0.486,106.665,4
13016,"The Whispers","A Mother For My Children","['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'rock steady', 'soul', 'urban contemporary']",194093,FALSE,0.421,0.72,3,-9.071,1,0.217,0.11,5.85e-05,0.0557,0.787,197.535,4
65638,"Celine Dion","A New Day Has Come","['canadian pop', 'dance pop']",259773,FALSE,0.574,0.691,6,-5.103,1,0.035,0.0826,1.65e-05,0.149,0.195,91.969,4
88475,"Brenda & The Tabulations","A Part Of You","['adult standards', 'brill building pop']",208706,FALSE,0.383,0.491,5,-10.099,1,0.0266,0.621,0.00924,0.0609,0.707,167.267,3
32747,"Tavares","A Penny For Your Thoughts","['adult standards', 'classic soul', 'disco', 'funk', 'motown', 'post-disco', 'quiet storm']",270066,FALSE,0.537,0.469,0,-7.941,1,0.0324,0.6,0,0.109,0.363,136.536,4
77083,"The Rascals","A Ray Of Hope","['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']",226213,FALSE,0.454,0.656,0,-9.422,1,0.0328,0.587,1.66e-05,0.116,0.82,102.124,4
45682,"Teena Marie Featuring Gerald Levert","A Rose By Any Other Name","['classic soul', 'disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",327160,FALSE,0.693,0.7,6,-4.469,0,0.0591,0.75,0,0.0809,0.481,128.338,4
47455,"Lobo","A Simple Man","['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",176440,FALSE,0.785,0.704,0,-10.172,1,0.0343,0.328,5.79e-05,0.1,0.943,79.431,4
16075,"Boyz II Men","A Song For Mama","['boy band', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",303373,FALSE,0.569,0.44,7,-8.948,1,0.035,0.471,0,0.143,0.151,75.001,4
67764,"Charlie Rich","A Very Special Love Song","['arkansas country', 'country', 'country rock', 'nashville sound']",166173,FALSE,0.39,0.384,0,-10.487,1,0.027,0.921,0.00303,0.143,0.333,76.482,4
53049,"The Kinks","A Well Respected Man","['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",161586,FALSE,0.53,0.873,4,-5.105,0,0.118,0.297,0,0.0521,0.583,162.154,4
30795,"Ray Parker Jr. & Raydio","A Woman Needs Love (Just Like You Do)","['disco']",249053,FALSE,0.744,0.376,6,-14.937,0,0.0395,0.479,3.86e-05,0.254,0.696,91.113,4
1757,"Alan Jackson","A Woman's Love","['contemporary country', 'country', 'country road']",253640,FALSE,0.593,0.512,4,-10.268,1,0.0329,0.519,0.0507,0.185,0.407,139.334,4
43414,"Rozetta Johnson","A Womans' Way","[]",214493,FALSE,0.538,0.603,0,-6.273,1,0.0266,0.461,3.43e-06,0.416,0.742,94.039,4
12336,"KISS","A World Without Heroes","['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",160666,FALSE,0.581,0.374,4,-9.415,0,0.0361,0.49,4.38e-05,0.127,0.379,115.292,4
42294,"Jackson 5","ABC","['adult standards', 'motown', 'soul']",177733,FALSE,0.736,0.689,8,-11.781,1,0.0437,0.523,0.000319,0.123,0.95,93.781,4
27216,"T.I. Featuring Young Thug","About The Money","['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",270120,TRUE,0.81,0.721,9,-4.964,0,0.265,0.0487,0,0.0886,0.552,101.997,4
7286,"Smokey Robinson & The Miracles","Abraham, Martin And John","['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",180066,FALSE,0.431,0.411,1,-12.434,1,0.0306,0.271,0,0.361,0.483,88.158,4
8708,"Five Man Electrical Band","Absolutely Right","['canadian psychedelic', 'classic canadian rock']",138200,FALSE,0.48,0.798,7,-9.936,1,0.0338,0.164,2.95e-05,0.179,0.964,169.518,4
68250,"Bruce Hornsby & The Range","Across The River","['album rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'soft rock']",309720,FALSE,0.529,0.816,7,-7.075,1,0.0385,0.276,0.0602,0.192,0.825,149.769,4
69928,"Ludacris","Act A Fool","['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",270733,TRUE,0.568,0.904,0,-2.497,1,0.349,0.221,0,0.22,0.799,109.331,5
825,"City Girls","Act Up","['pop', 'pop rap', 'trap queen']",158332,TRUE,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4
64614,"Paul Anka","Adam And Eve","['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",131293,FALSE,0.338,0.681,9,-8.886,0,0.0459,0.663,0,0.406,0.769,201.75,4
20245,"Tainy, Anuel AA & Ozuna","Adicto","['pop reggaeton']",270740,FALSE,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,4
58147,"Jim Reeves","Adios Amigo","['adult standards', 'nashville sound', 'rock-and-roll']",151173,FALSE,0.463,0.128,10,-17.919,1,0.0348,0.904,4.48e-06,0.0945,0.226,79.952,3
82585,"Cashmere Cat Featuring Ariana Grande","Adore","['downtempo', 'edm', 'electronic trap', 'electropop', 'pop', 'post-teen pop', 'shiver pop']",216000,FALSE,0.331,0.614,5,-5.588,0,0.0586,0.0668,1.28e-05,0.108,0.201,139.849,4
13327,"System Of A Down","Aerials","['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",235053,FALSE,0.364,0.922,0,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,4
9941,"Rick Springfield","Affair Of The Heart","['album rock', 'australian rock', 'bubblegum pop', 'classic rock', 'dance rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock', 'yacht rock']",226760,FALSE,0.609,0.907,9,-7.245,0,0.0433,0.0501,0,0.0964,0.378,129.077,4
15448,"Travis Denning","After A Few","['contemporary country', 'country pop']",213493,FALSE,0.617,0.849,10,-4.316,0,0.0355,0.0146,0,0.194,0.695,106.998,4
